MW,LogP,HBD,HBA,TPSA,RotBonds,RingCount,QED,SA,LinkerHA,smiles,mode,file
805.8246059200001,1.305260000000002,0,7,159.14999999999998,16,6,0.07192122071732084,7.916630539441738,6,[C]OC1=[C]C2=C([C]=[C]1)N([C]=C2[C][C][N]C(=O)C(=O)/[C]=[C]/C1=[C]C(=[C][C]=C1Br)Br)[C][C][N][C][C][C][N]C1=[C][C]=[C]C2=C1[C]N(C2=O)[C]1[C][C]C(=O)[N]C1=O,geom,2output_116_Fragments_.xyz
811.7936029200001,2.1935900000000017,0,8,145.04999999999998,12,6,0.0923915970896427,7.806147021421955,5,[C]OC1=[C]C2=C([C]=[C]1)N([C]=C2[C][C][N]C(=O)C(=O)/[C]=[C]/C1=[C]C(=[C][C]=C1Br)Br)S[C]C#C[C][N]C1=[C][C]=[C]C2=C1[C]N(C2=O)[C]1[C][C]C(=O)[N]C1=O,geom,2output_132_Fragments_.xyz
823.7936029200001,2.434060000000002,0,8,145.04999999999998,16,6,0.07311551839866896,7.906349540970011,6,[C]OC1=[C]C2=C([C]=[C]1)N([C]=C2[C][C][N]C(=O)C(=O)/[C]=[C]/C1=[C]C(=[C][C]=C1Br)Br)[C][C]S[C][C][C][N]C1=[C][C]=[C]C2=C1[C]N(C2=O)[C]1[C][C]C(=O)[N]C1=O,geom,2output_163_Fragments_.xyz
845.8195205400001,1.117550000000002,0,8,165.35999999999999,13,7,0.11060403478811708,7.987429279309039,9,[C]OC1=[C]C2=C([C]=[C]1)N([C]=C2[C][C][N]C(=O)C(=O)/[C]=[C]/C1=[C]C(=[C][C]=C1Br)Br)[C]C(=O)N1[C][C][C]([C]1)[C][N]C1=[C][C]=[C]C2=C1[C]N(C2=O)[C]1[C][C]C(=O)[N]C1=O,geom,2output_165_Fragments_.xyz
865.7915915400001,2.0296800000000013,0,10,175.00999999999996,14,7,0.07058696592867586,7.854781383808311,9,[C]OC1=[C]C2=C([C]=[C]1)N([C]=C2[C][C][N]C(=O)C(=O)/[C]=[C]/C1=[C]C(=[C][C]=C1Br)Br)[C]C1=N[C]=C(S1)C(=O)[C][N]C1=[C][C]=[C]C2=C1[C]N(C2=O)[C]1[C][C]C(=O)[N]C1=O,geom,2output_167_Fragments_.xyz
841.8246059200001,-0.04356999999999972,0,7,166.57999999999998,14,7,0.12556552047366484,4.059776164806099,9,[C]OC1=[C]C2=C([C][C][N]C(=O)C(=O)/[C]=[C]/C3=[C]C(=[C][C]=C3Br)Br)[C](N=C2[C]=[C]1)[C][N][C]1[C][C][C]([C][C]1)[C][N]C1=[C][C]=[C]C2=C1[C]N(C2=O)[C]1[C][C]C(=O)[N]C1=O,geom,2output_172_Fragments_.xyz
865.7915915400001,1.915950000000002,0,8,179.04999999999998,13,7,0.11197849045153048,3.8368674073803577,9,[C]OC1=[C]C2=C([C]=[C]1)N([C]=C2[C][C][N]C(=O)C(=O)/[C]=[C]/C1=[C]C(=[C][C]=C1Br)Br)[C][C]([C]1[N][C][C]([C]S1)[N]C1=[C][C]=[C]C2=C1[C]N(C2=O)[C]1[C][C]C(=O)[N]C1=O)[O],geom,2output_179_Fragments_.xyz
861.7966769200001,0.8279500000000006,0,9,164.83999999999997,13,7,0.10639745366396132,7.92181809280686,9,[C]OC1=[C]C2=C([C][C][N]C(=O)C(=O)/[C]=[C]/C3=[C]C(=[C][C]=C3Br)Br)[C](N=C2[C]=[C]1)[C][N][C]1[C][C][C][C](S1)/[C]=N/C1=[C][C]=[C]C2=C1[C]N(C2=O)[C]1[C][C]C(=O)[N]C1=O,geom,2output_185_Fragments_.xyz
803.8215319200001,1.8671500000000019,0,7,145.04999999999998,15,6,0.07773323971660143,7.915795185391814,6,[C]OC1=[C]C2=C([C]=[C]1)N([C]=C2[C][C][N]C(=O)C(=O)/[C]=[C]/C1=[C]C(=[C][C]=C1Br)Br)[C]/[C]=[C]\[C][C][C][N]C1=[C][C]=[C]C2=C1[C]N(C2=O)[C]1[C][C]C(=O)[N]C1=O,geom,2output_187_Fragments_.xyz
827.8215319200001,2.029730000000002,0,7,145.04999999999998,13,7,0.11471590238177354,5.512685548255607,8,[C]OC1=[C]C2=C([C]=[C]1)N([C]=C2[C][C][N]C(=O)C(=O)/[C]=[C]/C1=[C]C(=[C][C]=C1Br)Br)[C][C]1[C][C][C]([C][C]1)[C][N]C1=[C][C]=[C]C2=C1[C]N(C2=O)[C]1[C][C]C(=O)[N]C1=O,geom,2output_189_Fragments_.xyz
